,Company,Sector,Index,Market Cap,Income,Sales,Book/sh,Cash/sh,Dividend,Dividend % %,Employees,Optionable,Shortable,Recom,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,SMA20 %,EPS (ttm),EPS next Y,EPS next Q,EPS this Y %,EPS next Y %,EPS next 5Y,EPS past 5Y %,Sales past 5Y %,Sales Q/Q %,EPS Q/Q %,Earnings,SMA50 %,Insider Own %,Insider Trans %,Inst Own %,Inst Trans %,ROA %,ROE %,ROI %,Gross Margin %,Oper. Margin %,Profit Margin %,Payout %,SMA200 %,Shs Outstand,Shs Float,Short Float %,Short Ratio,Target Price,52W Range,52W High %,52W Low %,RSI (14),Rel Volume,Avg Volume,Volume,Perf Week %,Perf Month %,Perf Quarter %,Perf Half Y %,Perf Year %,Perf YTD %,Beta,ATR,Volatility %,Prev Close,Price,Change %
AA,Alcoa Corporation,Basic Materials | Aluminum | USA,,9240000000.0,963000000.0,13390000000.0,31.13,9.33,0.4,0.76,12200.0,Yes,Yes,2.1,10.38,7.39,,0.69,1.69,5.64,8.28,1.0,1.8,0.3,0.3,1.61,5.07,7.12,0.76,347.0,-1.4,-,24.8,5.5,28.6,81.5,Jul 20 Ae6C,8.66,0.2,0.0,86.2,-1.11,6.3,20.5,5.0,27.9,12.7,7.2,5.7,-14.43,182000000.0,173820000.0,4.5,1.31,58.22,39.56 - 98.09,-46.36,33.0,54.72,1.22,5970000.0,7252553.0,9.44,-0.62,-5.29,-36.56,10.76,-11.68,2.32,2.7,4.59 4.56,48.86,52.62,7.7
AMPH,"Amphastar Pharmaceuticals, Inc.",Healthcare | Drug Manufacturers - Specialty & Generic | USA,,1420000000.0,90900000.0,476900000.0,10.22,3.64,,,1761.0,Yes,Yes,2.7,15.84,14.69,0.63,2.97,2.76,7.74,20.15,2.7,3.6,0.15,0.15,-9.09,1.78,1.92,0.4,24.8,11.9,,43.3,11.4,21.4,107.9,,-17.21,5.5,-13.59,63.6,2.24,13.2,19.6,12.0,47.5,22.3,19.1,0.0,-9.21,48860000.0,38110000.0,5.67,5.0,40.67,17.56 - 44.46,-36.64,60.42,26.16,0.59,432340.0,254972.0,-5.15,-12.13,-6.69,-7.55,56.07,20.95,0.73,1.19,3.21 3.26,28.18,28.17,-0.04
AMPL,"Amplitude, Inc.",Technology | Software - Application | USA,,1930000000.0,-105200000.0,206100000.0,2.68,2.77,,,612.0,Yes,Yes,2.1,,,,9.36,6.44,6.22,,3.1,3.1,0.0,0.0,6.05,-0.95,-0.35,-0.08,-184.6,2.4,,,,47.8,-124.8,Aug 03 Ae6C,8.12,3.2,-3.99,69.1,18.63,-25.5,-34.6,-24.5,69.7,-50.9,-51.1,,-35.75,111040000.0,62740000.0,6.83,5.95,21.12,13.42 - 87.98,-80.39,28.54,58.78,0.73,719970.0,524731.0,16.63,-7.7,-4.7,-7.51,,-67.42,,1.0,5.03 4.97,16.14,17.25,6.88
AMPS,"Altus Power, Inc.",Utilities | Utilities - Renewable | USA,,1780000000.0,99600000.0,85700000.0,2.61,1.91,,,44.0,Yes,Yes,2.2,17.77,76.16,,20.74,4.41,6.02,,11.5,11.5,1.35,1.31,8.24,0.65,0.15,0.04,153.9,-72.04,-,,,-17.6,344.2,Aug 15 e9e6O,34.3,58.33,0.0,39.4,12.27,9.6,40.8,3.6,81.1,31.6,,0.0,43.8,153310000.0,66300000.0,5.17,4.64,12.9,4.26 - 12.14,-5.27,169.95,68.31,1.0,738340.0,740824.0,10.26,23.39,49.74,42.5,16.04,10.05,,0.62,5.18 6.37,10.98,11.5,4.74
AMR,"Alpha Metallurgical Resources, Inc.",Basic Materials | Coking Coal | USA,,2480000000.0,1310000000.0,3890000000.0,71.79,9.34,1.57,1.09,3560.0,Yes,Yes,2.3,2.1,4.0,,0.64,2.0,15.36,2.8,2.7,3.2,0.0,0.0,-7.41,68.28,35.86,15.36,215.2,-56.11,-,51.2,11.7,238.1,,Aug 08 e9e6O,2.09,6.8,-14.31,77.9,8.3,66.9,172.9,35.5,44.2,38.1,33.9,0.5,23.31,18380000.0,14650000.0,9.11,2.13,190.0,42.02 - 186.98,-23.26,241.46,45.42,0.58,626490.0,361686.0,-4.07,4.91,-14.08,5.0,180.36,135.04,1.22,9.37,5.08 5.87,138.14,143.49,3.87
AMSWA,"American Software, Inc.",Technology | Software - Application | USA,,622500000.0,12000000.0,129600000.0,3.96,3.34,0.44,2.69,418.0,Yes,Yes,1.5,46.93,32.73,2.93,4.8,4.12,4.88,270.65,2.7,2.7,0.0,0.0,-7.97,0.35,0.5,0.08,52.7,43.8,,-4.0,3.7,21.0,20.5,Aug 24 Ae6C,-6.3,1.1,-5.91,76.4,-1.19,6.6,9.4,9.1,59.9,7.4,9.5,117.4,-17.54,33580000.0,31490000.0,1.51,3.81,29.33,15.02 - 33.26,-50.91,8.72,39.55,1.07,124810.0,133626.0,0.25,-12.53,-1.69,-22.02,-35.12,-37.6,0.85,0.68,3.36 3.83,15.84,16.33,3.09
AMZN,"Amazon.com, Inc.",Consumer Cyclical | Internet Retail | USA,S&P 500,1361000000000.0,11610000000.0,485900000000.0,12.91,5.94,,,1523000.0,Yes,Yes,1.8,119.85,56.66,3.6,2.8,10.32,22.42,,0.7,1.0,0.63,0.59,-0.9,1.11,2.35,0.22,54.9,155.65,,67.6,28.1,7.2,-126.3,Jul 28 Ae6C,4.81,9.8,-0.01,59.9,-1.49,2.8,8.9,9.5,42.6,3.1,2.4,0.0,-5.83,10180000000.0,9180000000.0,0.85,1.26,173.23,101.26 - 188.11,-29.15,31.61,53.4,0.79,62150000.0,49331993.0,4.26,-6.6,14.74,-9.23,-23.5,-20.06,1.34,4.18,3.07 2.84,129.82,133.27,2.66
AN,"AutoNation, Inc.",Consumer Cyclical | Auto & Truck Dealerships | USA,,6630000000.0,1490000000.0,26580000000.0,40.22,5.96,,,22200.0,Yes,Yes,2.2,5.05,5.25,0.2,0.25,2.92,19.72,4.98,0.4,1.1,1.53,1.52,-5.68,23.27,22.37,6.4,325.4,-9.31,,34.5,3.6,-1.6,34.2,Jul 21 e9e6O,-1.99,13.2,-18.18,88.6,-1.44,16.6,63.3,26.3,19.8,7.9,5.6,0.0,2.26,57800000.0,45320000.0,12.12,7.76,168.25,96.56 - 135.57,-13.32,21.7,42.07,1.2,707830.0,848488.0,-4.92,-4.66,-4.28,6.35,11.85,0.56,1.09,3.87,3.47 3.02,117.58,117.51,-0.06
ANET,"Arista Networks, Inc.",Technology | Computer Hardware | USA,S&P 500,37850000000.0,1030000000.0,3500000000.0,13.06,9.54,,,2993.0,Yes,Yes,2.3,38.33,27.32,2.02,10.81,9.53,13.04,51.34,3.0,3.7,0.0,0.0,-0.1,3.25,4.55,1.04,31.9,13.6,,33.3,21.2,48.7,53.0,Aug 01 Ae6C,8.8,0.1,-86.43,67.5,-0.22,17.9,25.9,21.0,62.8,32.6,29.6,0.0,4.24,306750000.0,232840000.0,1.88,2.32,148.33,85.18 - 148.57,-16.26,46.06,57.6,0.88,1890000.0,1661483.0,6.08,-2.4,26.42,2.89,38.96,-13.45,1.33,3.5,2.66 2.32,122.78,124.41,1.33
ANSS,"ANSYS, Inc.",Technology | Software - Application | USA,S&P 500,22700000000.0,458300000.0,2000000000.0,51.18,5.9,,,5100.0,Yes,Yes,2.5,49.65,30.39,5.61,11.38,5.06,43.86,40.03,2.1,2.1,0.0,0.17,-1.53,5.21,8.52,1.64,3.8,9.97,,11.6,14.0,6.1,6.3,Aug 03 Ae6C,-0.64,0.6,-0.15,97.0,1.54,7.5,10.4,8.6,87.0,27.8,23.0,0.0,-14.2,87000000.0,86720000.0,1.56,2.85,319.53,225.92 - 413.89,-37.47,14.55,49.36,0.64,473090.0,300718.0,4.99,-9.89,3.19,-14.75,-30.42,-35.48,1.31,7.36,2.97 2.48,254.88,258.8,1.54
AOSL,Alpha and Omega Semiconductor Limited,Technology | Semiconductors | USA,,974370000.0,453200000.0,777600000.0,30.82,11.8,,,3939.0,Yes,Yes,3.3,2.22,6.67,0.13,1.25,1.16,3.02,5.23,1.9,2.6,0.08,0.07,-10.97,16.03,5.34,1.21,902.5,14.82,,78.9,14.4,20.1,91.7,Aug 10 Ae6C,-6.51,18.2,-1.99,67.9,15.11,41.8,73.8,11.2,34.5,11.9,56.9,0.0,-21.43,26830000.0,22120000.0,8.2,4.68,45.67,27.10 - 69.99,-49.14,31.37,41.79,0.66,387480.0,256763.0,-1.14,-5.85,-9.76,-26.75,25.48,-41.22,2.5,2.52,5.29 6.01,35.0,35.6,1.71
APA,APA Corporation,Energy | Oil & Gas E&P | USA,S&P 500,12160000000.0,3080000000.0,10070000000.0,1.71,0.88,0.5,1.31,2253.0,Yes,Yes,2.3,4.29,3.61,0.12,1.21,22.27,43.1,2.94,0.9,1.1,9.05,8.84,1.98,8.89,10.54,2.34,120.2,15.14,,22.1,8.3,73.5,224.7,Aug 03 Ae6C,8.11,0.34,-7.36,84.4,-5.82,23.7,-579.7,31.2,69.5,51.4,30.6,3.8,5.45,341000000.0,325370000.0,2.62,1.05,53.58,18.52 - 51.95,-26.68,105.61,53.56,0.75,8080000.0,6025626.0,0.45,14.66,-23.88,-4.87,101.22,41.65,3.81,1.94,3.27 4.51,36.93,38.09,3.14
APP,AppLovin Corporation,Technology | Software - Application | USA,,10690000000.0,-108600000.0,2920000000.0,5.1,2.47,,,1594.0,Yes,Yes,1.7,,26.04,,3.66,5.44,11.23,37.68,2.8,2.8,1.69,1.67,0.31,-0.29,1.06,0.15,126.6,1801.79,-,,,-39.0,-715.4,Aug 10 Ae6C,-14.39,12.5,-0.83,49.8,7.83,-1.9,-5.4,2.2,62.2,1.0,-3.7,,-47.42,373910000.0,177370000.0,7.19,4.43,56.93,23.37 - 116.09,-76.11,18.66,47.09,0.64,2870000.0,1833127.0,10.7,-31.46,-31.19,-40.28,-60.99,-70.58,,2.0,5.95 6.28,25.94,27.73,6.9
APPF,"AppFolio, Inc.",Technology | Software - Application | USA,,3580000000.0,-45700000.0,414200000.0,7.59,3.32,,,1600.0,Yes,Yes,2.8,,,,8.65,13.26,30.37,203.59,2.9,2.9,0.0,0.0,-3.73,-1.31,-0.38,-0.13,-99.4,44.0,,16.2,27.8,32.0,,Jul 28 Ae6C,-0.86,1.1,-23.16,80.3,1.11,-11.5,-16.0,-4.2,59.3,-12.5,-11.0,,-7.28,34930000.0,18510000.0,3.63,6.91,108.0,79.92 - 139.99,-28.08,25.97,46.96,0.72,97240.0,69810.0,2.68,-10.04,5.96,-14.07,-20.53,-16.83,1.05,3.42,3.57 3.15,97.99,100.68,2.75
APPN,Appian Corporation,Technology | Software - Infrastructure | USA,,3510000000.0,-123700000.0,421700000.0,2.83,1.83,,,1798.0,Yes,Yes,2.6,,,,8.33,16.7,25.85,,1.5,1.5,0.0,0.0,-2.3,-1.72,-0.61,-0.22,-157.4,21.0,-,-40.6,22.7,32.7,-103.0,Aug 04 Ae6C,-5.04,0.6,,73.5,3.25,-25.1,-52.8,-36.2,71.8,-27.4,-29.3,,-14.09,72390000.0,39820000.0,14.29,16.3,57.86,38.78 - 108.68,-56.52,21.84,48.18,0.85,349040.0,297863.0,6.68,-14.68,-3.49,-17.42,-55.11,-27.54,1.59,2.75,4.66 5.02,45.25,47.25,4.42
APPS,"Digital Turbine, Inc.",Technology | Software - Application | USA,,1880000000.0,36200000.0,778200000.0,5.89,0.9,,,844.0,Yes,Yes,1.7,55.34,10.67,2.05,2.42,3.2,21.05,15.03,1.2,1.2,0.82,0.82,-8.97,0.34,1.77,0.33,-39.3,22.18,,26.2,79.4,19.3,0.5,Aug 08 Ae6C,-5.25,2.3,0.66,68.6,6.1,2.5,7.0,8.0,47.5,12.5,4.6,0.0,-46.1,97820000.0,95120000.0,6.5,2.02,35.18,14.43 - 93.98,-79.92,30.77,44.7,0.61,3060000.0,1876280.0,6.49,-19.12,-0.47,-50.67,-70.55,-69.06,2.39,1.32,5.10 5.59,17.76,18.87,6.25
ARBE,Arbe Robotics Ltd.,Technology | Software - Infrastructure | Israel,,434190000.0,-48600000.0,3300000.0,1.03,1.16,,,118.0,Yes,Yes,2.0,,,,131.57,6.82,6.06,,9.5,9.5,0.0,0.0,-1.21,-0.77,-0.14,-0.16,-271.8,82.5,-,,,300.0,26.1,Aug 16 e9e6O,14.42,28.26,0.0,32.7,0.16,,,-39.3,54.5,,,,-4.46,63290000.0,45380000.0,0.76,17.38,12.8,4.83 - 17.27,-59.35,45.32,54.1,0.55,19930.0,10862.0,-1.82,11.78,13.78,11.96,-30.08,-24.52,,0.49,6.29 7.96,7.12,7.02,-1.4
ARCH,"Arch Resources, Inc.",Energy | Thermal Coal | USA,,2520000000.0,995200000.0,3400000000.0,70.75,15.51,1.0,0.72,3303.0,Yes,Yes,1.7,2.85,4.17,,0.74,1.96,8.93,5.42,2.0,2.5,0.16,0.11,-7.82,48.62,33.21,13.21,184.4,-44.27,-,-17.4,2.3,151.6,1362.6,Jul 28 e9e6O,-0.25,0.1,-16.15,,-2.63,46.8,124.0,29.2,39.4,30.2,29.3,1.2,11.31,16800000.0,,,4.78,196.0,67.85 - 172.53,-19.72,104.12,44.58,0.94,664360.0,624098.0,-0.28,3.63,-14.56,-4.8,81.05,64.38,0.51,7.72,4.98 5.33,134.23,138.5,3.18
ARCT,Arcturus Therapeutics Holdings Inc.,Healthcare | Biotechnology | USA,,441920000.0,-165500000.0,40600000.0,6.46,9.9,,,177.0,Yes,Yes,2.6,,,,10.88,2.39,1.56,,3.1,3.1,0.37,0.21,-5.99,-6.28,-3.96,-1.75,-117.8,65.6,-,-58.5,-9.5,146.5,60.6,Aug 09 Ae6C,-10.95,1.0,0.0,79.9,2.82,-43.9,-78.5,,,,,,-34.62,26430000.0,22900000.0,11.39,4.68,49.91,11.70 - 58.09,-73.44,31.88,46.46,0.65,557910.0,360100.0,0.0,-11.73,-9.92,-21.07,-72.34,-58.31,2.74,1.46,7.58 8.84,15.12,15.43,2.05
ARQQ,Arqit Quantum Inc.,Technology | Software - Infrastructure | United Kingdom,,681570000.0,,12300000.0,-0.31,,,,74.0,Yes,Yes,2.5,,21.5,,55.41,,,,,,,,-6.7,-3.98,0.26,,,-43.5,-,,,,,,-4.65,79.72,0.0,2.9,,,,,,,,,-55.55,121930000.0,24730000.0,2.05,4.17,12.67,4.98 - 41.52,-86.54,12.25,45.97,1.37,121890.0,166527.0,-16.82,-1.06,-13.2,-60.1,-60.63,-76.66,,0.58,13.86 9.98,5.49,5.59,1.82
ARRY,"Array Technologies, Inc.",Technology | Solar | USA,,3320000000.0,-113800000.0,1130000000.0,0.73,0.31,,,1348.0,Yes,Yes,2.3,,22.55,,2.93,28.6,67.13,,1.2,1.9,7.62,7.18,-2.89,-0.82,0.93,0.1,-217.8,207.64,,,,21.1,-731.4,Aug 09 Ae6C,24.4,0.6,3.69,,2.89,-6.2,833.1,-2.2,7.9,-2.2,-5.8,,58.73,148290000.0,148100000.0,10.69,3.68,25.0,5.45 - 27.67,-24.54,283.47,54.3,1.0,4310000.0,4308354.0,-2.7,-11.45,54.9,90.51,10.77,33.08,,1.88,9.30 8.65,21.32,20.88,-2.06
ASAN,"Asana, Inc.",Technology | Software - Application | USA,,4600000000.0,-326600000.0,422400000.0,0.82,1.51,,,1666.0,Yes,Yes,2.3,,,,10.9,30.07,16.36,,1.4,1.4,0.0,0.21,13.12,-1.78,-1.08,-0.39,-24.7,16.0,-,,,57.2,-39.3,Sep 07 Ae6C,19.52,4.8,214.81,52.8,-5.14,-45.8,-147.3,-112.6,89.7,-73.8,-77.3,,-38.76,189590000.0,72570000.0,18.1,3.84,34.36,16.19 - 145.79,-83.09,52.32,62.45,2.83,3420000.0,9705685.0,38.38,-9.74,14.48,-35.12,-74.67,-66.92,,2.04,9.28 7.52,23.76,24.66,3.79
ASML,ASML Holding N.V.,Technology | Semiconductor Equipment & Materials | Netherlands,,204720000000.0,5590000000.0,19080000000.0,19.1,10.71,7.38,1.47,32627.0,Yes,Yes,2.0,36.22,24.17,1.22,10.73,26.23,46.77,24.18,0.9,1.4,0.0,0.57,-3.78,13.83,20.73,4.06,69.1,33.62,,31.5,22.0,35.1,40.5,Jul 20 e9e6O,-2.62,0.4,0.0,19.7,-0.8,18.8,59.0,38.9,51.1,33.3,29.3,40.2,-18.51,398300000.0,397090000.0,0.29,1.09,725.77,412.67 - 895.93,-44.08,21.4,46.01,0.96,1050000.0,1009641.0,6.61,-11.49,-7.63,-16.51,-41.3,-37.07,1.33,18.49,3.38 2.97,482.75,501.0,3.78
ATAI,Atai Life Sciences N.V.,Healthcare | Biotechnology | Germany,,708790000.0,-193500000.0,700000.0,2.02,1.92,,,81.0,Yes,Yes,1.9,,,,1012.56,2.15,2.27,,14.7,14.7,0.0,0.0,-3.5,-1.28,-1.04,-0.23,-9.0,-15.6,-,,,,35.1,Aug 15 e9e6O,2.71,9.41,4.16,32.3,13.32,-47.5,-52.0,-35.0,,,,,-18.66,153970000.0,146690000.0,4.23,7.7,23.96,2.95 - 17.84,-75.62,47.46,49.45,0.4,806000.0,323013.0,-0.91,-7.05,29.08,-18.84,-74.37,-42.99,,0.28,4.82 6.62,4.29,4.35,1.4
ATEN,"A10 Networks, Inc.",Technology | Software - Infrastructure | USA,,1050000000.0,102400000.0,266700000.0,2.57,2.16,0.2,1.47,590.0,Yes,Yes,1.7,10.64,16.83,0.53,3.96,5.31,6.32,26.37,2.0,2.2,0.0,0.0,-7.97,1.28,0.81,0.18,432.5,17.54,,40.5,1.9,14.9,59.5,Aug 02 Ae6C,-6.33,1.6,-49.23,93.2,9.07,27.1,51.6,46.3,79.9,16.3,38.4,11.3,-6.14,75890000.0,63820000.0,6.06,5.53,20.67,12.27 - 19.05,-28.35,11.25,39.36,0.78,699710.0,544608.0,2.4,-11.13,-9.36,2.17,-0.07,-17.67,0.92,0.5,3.09 3.05,13.15,13.65,3.8
ATGE,Adtalem Global Education Inc.,Consumer Defensive | Education & Training Services | USA,,1750000000.0,-29800000.0,1390000000.0,33.32,,,,4313.0,Yes,Yes,2.3,,8.84,,1.26,1.13,,,1.3,1.3,0.56,0.56,-1.89,-0.6,4.26,0.78,-145.0,5.19,,-18.4,2.8,61.6,-8.6,Aug 11 Ae6C,-2.0,1.8,0.92,,-1.94,9.1,22.9,4.1,52.4,5.8,22.9,0.0,19.51,45170000.0,44260000.0,9.28,9.1,43.33,19.14 - 41.40,-9.03,96.76,46.15,0.46,451200.0,207087.0,-0.97,-2.84,13.13,56.85,-1.52,27.4,1.02,1.15,2.63 3.44,37.54,37.66,0.32
ATKR,Atkore Inc.,Industrials | Specialty Industrial Machinery | USA,,3780000000.0,891300000.0,3810000000.0,26.47,4.37,,,4000.0,Yes,Yes,2.2,4.43,6.49,,0.99,3.34,20.24,10.01,1.9,2.8,0.0,0.67,-0.06,19.96,13.61,5.02,293.1,-35.11,,67.1,14.0,24.4,60.3,Aug 02 e9e6O,-0.6,0.3,-31.13,,-1.59,38.4,89.7,38.1,41.6,31.6,23.4,0.0,-11.27,43070000.0,41040000.0,5.12,4.72,124.25,80.04 - 123.53,-28.43,10.45,50.39,0.77,444770.0,341404.0,1.81,-1.27,-19.85,-12.95,0.94,-20.49,2.27,3.2,3.59 3.15,84.67,88.41,4.42
ATO,Atmos Energy Corporation,Utilities | Utilities - Regulated Gas | USA,S&P 500,16550000000.0,751000000.0,4050000000.0,66.26,2.34,2.72,2.3,4684.0,Yes,Yes,2.4,21.77,19.85,2.59,4.09,1.78,50.45,,0.9,1.0,0.86,0.62,1.5,5.42,5.95,0.43,4.7,7.09,,9.0,6.8,34.8,17.7,Aug 03 Ae6C,2.55,0.3,-0.0,92.9,1.21,4.6,11.0,4.9,61.1,27.0,23.5,29.6,6.68,139880000.0,138210000.0,4.66,7.15,125.12,85.80 - 122.96,-3.96,37.63,58.14,0.73,899600.0,654620.0,2.88,3.16,4.55,4.24,22.77,12.71,0.51,1.92,1.79 1.48,117.95,118.09,0.12
ATVI,"Activision Blizzard, Inc.",Communication Services | Electronic Gaming & Multimedia | USA,S&P 500,62230000000.0,1880000000.0,7640000000.0,23.34,13.54,0.47,0.6,9800.0,Yes,Yes,2.3,32.81,20.56,3.03,8.14,3.36,5.8,32.31,6.2,6.2,0.2,0.2,-0.88,2.39,3.82,0.51,21.9,35.01,,22.0,5.9,-28.4,-68.2,Aug 01 Ae6C,-0.67,0.1,-4.88,83.1,-1.08,7.6,10.6,13.2,71.9,30.4,24.6,19.5,3.52,782000000.0,775550000.0,2.74,4.49,93.09,56.40 - 86.90,-9.65,39.2,47.32,1.23,4730000.0,5829256.0,-0.05,-2.97,2.25,-2.83,0.59,18.01,0.51,0.85,1.33 1.00,77.39,78.51,1.45
AUDC,AudioCodes Ltd.,Technology | Communication Equipment | Israel,,718970000.0,31100000.0,264200000.0,5.75,1.67,0.36,1.58,885.0,Yes,Yes,,24.4,13.65,2.71,2.72,3.97,13.67,69.8,1.2,1.5,0.0,0.0,1.25,0.94,1.67,0.35,20.5,19.96,,17.1,11.3,12.9,-12.1,Aug 02 e9e6O,0.72,40.5,0.0,45.4,3.24,9.3,15.9,16.4,67.2,13.4,11.8,37.4,-13.35,31810000.0,24180000.0,0.22,0.77,26.4,19.62 - 37.35,-38.93,16.26,53.53,1.29,68790.0,88929.0,3.21,0.13,-2.1,-17.11,-29.07,-34.34,0.67,0.7,3.39 2.72,22.25,22.81,2.52
AUID,authID Inc.,Technology | Software - Infrastructure | USA,,76000000.0,-23600000.0,1400000.0,0.31,0.44,,,60.0,No,Yes,,,,,54.29,10.84,7.6,,,3.9,1.08,0.99,23.73,-1.0,,,-32.4,,-,9.4,3.5,0.0,-73.7,Aug 09 Ae6C,21.3,9.9,1.06,14.0,-7.24,-131.2,-208.8,-147.5,78.8,,,,-41.33,24670000.0,18780000.0,2.02,6.99,,1.45 - 18.64,-81.97,131.72,64.28,0.47,54150.0,25335.0,40.0,17.07,2.75,-6.15,-69.81,-76.05,2.82,0.27,9.28 9.50,3.09,3.36,8.74
AVAV,"AeroVironment, Inc.",Industrials | Aerospace & Defense | USA,,2520000000.0,-4200000.0,445700000.0,24.55,4.05,,,1214.0,Yes,Yes,2.2,,46.48,,5.65,4.08,24.71,,2.7,3.6,0.31,0.29,4.87,-0.17,2.15,0.11,-117.7,41.18,,-17.3,13.8,-2.5,-33.6,Sep 07 Ae6C,12.98,1.0,-4.3,87.7,1.32,-0.5,-0.7,0.9,31.7,-0.8,-0.9,,25.01,24770000.0,24680000.0,3.72,3.54,96.33,52.03 - 114.11,-12.3,92.33,59.01,1.54,259300.0,398593.0,19.9,7.04,10.25,29.04,8.77,61.33,0.5,5.03,8.54 5.16,101.87,100.07,-1.77
AVGO,Broadcom Inc.,Technology | Semiconductors | USA,S&P 500,207490000000.0,8630000000.0,29990000000.0,51.38,22.67,16.4,3.14,20000.0,Yes,Yes,1.9,25.88,12.91,1.7,6.92,10.17,23.04,28.53,1.9,2.1,1.88,1.87,-0.94,20.18,40.46,10.29,137.1,8.52,,40.0,15.7,22.6,79.6,Sep 01 Ae6C,0.88,0.1,-7.86,82.2,-1.15,10.2,32.3,12.8,64.4,32.6,25.1,81.4,-8.02,408000000.0,394320000.0,1.39,2.7,659.24,463.91 - 677.76,-22.92,12.61,50.59,1.13,2030000.0,2295375.0,6.18,-5.09,-6.08,-11.12,5.86,-21.49,1.12,15.45,2.81 2.69,511.93,522.4,2.05
AVID,"Avid Technology, Inc.",Communication Services | Electronic Gaming & Multimedia | USA,,1140000000.0,48000000.0,419000000.0,-3.05,0.99,,,1405.0,Yes,Yes,2.3,24.3,15.04,1.62,2.71,,25.65,24.23,0.8,0.9,,,-3.1,1.05,1.69,0.32,262.6,17.51,,-5.8,-4.3,3.0,8.6,Aug 02 Ae6C,-5.39,7.9,5.75,81.4,3.83,18.9,-37.1,111.0,65.5,13.8,11.4,0.0,-14.14,44740000.0,41110000.0,2.06,1.63,37.0,20.83 - 37.31,-31.81,22.13,45.87,0.91,517590.0,468520.0,-3.67,-6.26,-7.05,-9.18,2.05,-21.89,1.2,1.33,4.80 4.01,25.27,25.44,0.67
AVLR,"Avalara, Inc.",Technology | Software - Application | USA,,8110000000.0,-166400000.0,789400000.0,11.66,16.58,,,4465.0,Yes,Yes,1.9,,508.23,,10.27,7.89,5.55,658.96,3.2,3.2,0.94,0.94,0.1,-1.91,0.18,-0.05,-130.2,3520.0,-,-12.4,33.1,23.4,-76.1,Aug 08 e9e6O,4.45,1.5,-10.31,92.3,1.38,-6.2,-16.1,-6.0,70.2,-19.7,-21.1,,-5.76,87990000.0,86580000.0,3.04,0.77,93.3,66.39 - 190.68,-51.76,38.56,55.94,1.04,3430000.0,3564199.0,0.19,0.19,7.64,5.38,-49.97,-28.75,1.04,0.97,0.42 0.53,91.7,91.99,0.32
AVPT,"AvePoint, Inc.",Technology | Software - Infrastructure | USA,,860350000.0,-39200000.0,213800000.0,1.3,1.33,,,1934.0,Yes,Yes,2.0,,185.2,,4.02,3.56,3.49,2150.87,2.8,2.8,0.0,0.0,-3.74,-0.22,0.03,0.01,-68.7,66.67,-,,,23.0,73.3,Aug 11 Ae6C,-4.39,2.7,0.0,41.4,18.32,-10.1,-16.0,-21.5,71.8,-29.0,-18.3,,-14.88,182490000.0,115480000.0,6.11,7.72,8.0,3.88 - 10.18,-54.52,19.33,45.16,0.45,914520.0,415935.0,4.99,-14.89,-15.36,-15.51,-53.42,-26.39,,0.22,5.08 4.78,4.49,4.63,3.12
AVYA,Avaya Holdings Corp.,Technology | Software - Application | USA,,141870000.0,-1473000000.0,2770000000.0,5.05,3.56,,,8063.0,Yes,Yes,3.1,,,,0.05,0.31,0.44,,1.6,1.7,0.0,6.54,26.61,-17.03,-0.07,-0.26,97.3,9.9,,33.4,-4.3,-3.0,96.7,Aug 09 e9e6O,-1.77,18.0,13.92,95.41,1.99,-1.3,-20.6,5.5,51.1,4.7,-2.9,,-84.71,85600000.0,71430000.0,21.33,0.94,,0.60 - 22.47,-93.06,161.66,50.95,1.33,16220000.0,21581275.0,-12.85,132.84,-67.84,-88.02,-92.05,-92.12,1.12,0.28,22.39 21.59,1.85,1.56,-15.68
AXON,"Axon Enterprise, Inc.",Industrials | Aerospace & Defense | USA,,8770000000.0,140800000.0,991600000.0,16.8,5.34,,,2148.0,Yes,Yes,1.7,64.05,50.18,3.41,8.84,7.39,23.24,236.97,2.3,2.7,0.0,0.0,-0.06,1.94,2.48,0.49,-20.0,30.06,,-36.9,26.3,30.5,197.5,Aug 09 Ae6C,11.49,1.5,-1.12,77.4,2.13,8.0,12.6,-8.3,61.4,1.5,14.2,0.0,-0.03,71040000.0,67440000.0,2.48,4.55,146.7,82.49 - 209.00,-40.58,50.54,57.04,0.63,367930.0,230116.0,7.99,-1.49,22.91,-4.71,-31.44,-20.9,0.63,4.68,3.19 3.49,122.73,124.19,1.19
AY,Atlantica Sustainable Infrastructure plc,Utilities | Utilities - Renewable | United Kingdom,,3760000000.0,-19200000.0,1160000000.0,14.03,7.6,1.78,5.34,655.0,Yes,Yes,2.6,,42.61,,3.25,2.38,4.39,9.97,2.0,2.1,3.57,3.34,-2.65,-0.18,0.78,0.37,-334.1,89.59,-,-41.1,4.5,-18.1,17.6,Aug 03 e9e6O,-1.54,43.61,0.0,48.0,2.2,-0.2,-1.2,4.2,98.9,26.0,-1.7,,-1.35,114330000.0,63640000.0,1.95,2.59,38.32,28.82 - 41.32,-19.26,15.75,45.53,1.18,480240.0,565444.0,2.52,-5.74,-2.08,-5.07,-11.65,-6.71,0.74,0.73,1.99 1.72,32.91,33.36,1.37
