,Company,Sector,Index,Market Cap,Income,Sales,Book/sh,Cash/sh,Dividend,Dividend % %,Employees,Optionable,Shortable,Recom,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,SMA20 %,EPS (ttm),EPS next Y,EPS next Q,EPS this Y %,EPS next Y %,EPS next 5Y,EPS past 5Y %,Sales past 5Y %,Sales Q/Q %,EPS Q/Q %,Earnings,SMA50 %,Insider Own %,Insider Trans %,Inst Own %,Inst Trans %,ROA %,ROE %,ROI %,Gross Margin %,Oper. Margin %,Profit Margin %,Payout %,SMA200 %,Shs Outstand,Shs Float,Short Float %,Short Ratio,Target Price,52W Range,52W High %,52W Low %,RSI (14),Rel Volume,Avg Volume,Volume,Perf Week %,Perf Month %,Perf Quarter %,Perf Half Y %,Perf Year %,Perf YTD %,Beta,ATR,Volatility %,Prev Close,Price,Change %
AA,Alcoa Corporation,Basic Materials | Aluminum | USA,-,8650000000.0,963000000.0,13390000000.0,31.13,9.33,0.4,0.81,12200.0,Yes,Yes,2.1,9.72,6.92,-,0.65,1.58,5.28,7.75,1.0,1.8,0.3,0.3,-5.61,5.07,7.12,0.76,347.0,-1.4,-,24.8,5.5,28.6,81.5,Jul 20 Ae6C,1.66,0.2,0.0,86.2,-1.11,6.3,20.5,5.0,27.9,12.7,7.2,5.7,-19.89,182000000.0,173820000.0,4.5,1.33,58.22,39.56 - 98.09,-49.79,24.48,45.41,0.67,5870000.0,3947643.0,-11.8,2.93,-20.35,-45.68,4.99,-17.34,2.32,2.67,5.04 4.58,48.08,49.25,2.43
AMPH,"Amphastar Pharmaceuticals, Inc.",Healthcare | Drug Manufacturers - Specialty & Generic | USA,-,1460000000.0,90900000.0,476900000.0,10.22,3.64,-,,1761.0,Yes,Yes,2.7,16.26,15.07,0.65,3.05,2.83,7.94,20.68,2.7,3.6,0.15,0.15,-10.28,1.78,1.92,0.4,24.8,11.9,,43.3,11.4,21.4,107.9,-,-15.93,5.5,-13.59,63.6,2.24,13.2,19.6,12.0,47.5,22.3,19.1,0.0,-6.35,48860000.0,38110000.0,5.67,4.48,40.67,17.56 - 44.46,-34.98,64.64,28.01,0.56,482690.0,270196.0,-6.77,-21.78,-23.46,0.98,48.03,24.13,0.73,1.25,2.92 4.59,29.7,28.91,-2.66
AMPL,"Amplitude, Inc.",Technology | Software - Application | USA,-,1660000000.0,-105200000.0,206100000.0,2.68,2.77,-,,612.0,Yes,Yes,2.1,-,-,-,8.06,5.54,5.36,-,3.1,3.1,0.0,0.0,-11.8,-0.95,-0.35,-0.08,-184.6,2.4,,,,47.8,-124.8,Aug 03 Ae6C,-7.12,3.2,-3.99,69.1,18.63,-25.5,-34.6,-24.5,69.7,-50.9,-51.1,,-46.86,111040000.0,62740000.0,6.83,5.89,21.12,13.42 - 87.98,-83.12,10.66,40.31,0.48,727300.0,348033.0,-5.23,-18.23,-19.9,-23.14,,-71.95,-,0.98,5.65 5.43,14.79,14.85,0.41
AMPS,"Altus Power, Inc.",Utilities | Utilities - Renewable | USA,-,1630000000.0,99600000.0,85700000.0,2.61,1.91,-,,44.0,Yes,Yes,2.2,16.26,69.67,-,18.98,4.03,5.51,-,11.5,11.5,1.35,1.31,2.1,0.65,0.15,0.04,153.9,-72.04,-,,,-17.6,344.2,Aug 15 e9e6O,27.11,58.33,0.0,39.4,12.27,9.6,40.8,3.6,81.1,31.6,,0.0,31.6,153310000.0,66300000.0,5.17,4.6,12.9,4.26 - 12.14,-13.34,146.95,60.21,0.69,745790.0,515577.0,-5.4,22.61,46.52,40.64,5.94,0.67,-,0.62,3.32 6.68,10.43,10.52,0.86
AMR,"Alpha Metallurgical Resources, Inc.",Basic Materials | Coking Coal | USA,-,2590000000.0,1310000000.0,3890000000.0,71.79,9.34,1.57,1.05,3560.0,Yes,Yes,2.3,2.19,4.17,-,0.67,2.08,16.02,2.92,2.7,3.2,0.0,0.0,-1.77,68.28,35.86,15.36,215.2,-56.11,-,51.2,11.7,238.1,,Aug 08 e9e6O,7.1,6.8,-14.31,77.9,8.3,66.9,172.9,35.5,44.2,38.1,33.9,0.5,30.86,18380000.0,14650000.0,9.11,2.08,190.0,40.00 - 186.98,-19.96,274.15,49.02,0.44,642710.0,280426.0,-9.48,17.8,-12.46,28.85,262.72,145.14,1.22,9.42,6.18 6.37,149.58,149.66,0.05
AMSWA,"American Software, Inc.",Technology | Software - Application | USA,-,622880000.0,12000000.0,129600000.0,3.96,3.34,0.44,2.69,418.0,Yes,Yes,1.5,46.95,32.75,2.93,4.81,4.13,4.89,270.82,2.7,2.7,0.0,0.0,-9.98,0.35,0.5,0.08,52.7,43.8,,-4.0,3.7,21.0,20.5,Aug 24 Ae6C,-6.35,1.1,-3.35,76.4,-1.19,6.6,9.4,9.1,59.9,7.4,9.5,117.4,-18.56,33580000.0,31490000.0,1.51,3.85,29.33,15.02 - 33.26,-50.88,8.79,35.88,1.26,123450.0,155597.0,-3.54,-10.91,-4.33,-23.21,-35.36,-37.56,0.85,0.71,4.21 3.93,16.29,16.34,0.31
AMZN,"Amazon.com, Inc.",Consumer Cyclical | Internet Retail | USA,S&P 500,1302170000000.0,11610000000.0,485900000000.0,12.91,5.94,-,,1523000.0,Yes,Yes,1.8,114.67,54.21,3.45,2.68,9.88,21.45,-,0.7,1.0,0.63,0.59,-6.83,1.11,2.35,0.22,54.9,155.65,,67.6,28.1,7.2,-126.3,Jul 28 Ae6C,1.29,9.8,-0.01,59.9,-1.49,2.8,8.9,9.5,42.6,3.1,2.4,0.0,-10.57,10180000000.0,9180000000.0,0.85,1.19,173.23,101.26 - 188.11,-32.21,25.92,42.9,0.87,65710000.0,57329814.0,-2.48,-10.56,4.22,-12.45,-26.36,-23.52,1.34,4.63,3.42 2.83,127.82,127.51,-0.24
AN,"AutoNation, Inc.",Consumer Cyclical | Auto & Truck Dealerships | USA,-,6920000000.0,1490000000.0,26580000000.0,40.22,5.96,-,,22200.0,Yes,Yes,2.2,5.27,5.48,0.21,0.26,3.05,20.56,5.19,0.4,1.1,1.53,1.52,-2.13,23.27,22.37,6.4,325.4,-9.31,,34.5,3.6,-1.6,34.2,Jul 21 e9e6O,2.46,13.2,-18.14,88.6,-1.44,16.6,63.3,26.3,19.8,7.9,5.6,0.0,6.58,57800000.0,45320000.0,12.12,8.08,168.25,96.56 - 135.57,-9.61,26.91,48.3,1.11,680080.0,751535.0,-3.02,2.36,1.11,8.32,14.01,4.87,1.09,3.8,2.72 2.92,123.59,122.54,-0.85
ANET,"Arista Networks, Inc.",Technology | Computer Hardware | USA,S&P 500,35690000000.0,1030000000.0,3500000000.0,13.06,9.54,-,,2993.0,Yes,Yes,2.3,36.14,25.76,1.91,10.19,8.98,12.3,48.41,3.0,3.7,0.0,0.0,-6.63,3.25,4.55,1.04,31.9,13.6,,33.3,21.2,48.7,53.0,Aug 01 Ae6C,4.2,0.1,-87.5,67.5,-0.22,17.9,25.9,21.0,62.8,32.6,29.6,0.0,-1.91,306750000.0,232840000.0,1.88,2.35,148.33,85.18 - 148.57,-21.05,37.71,43.12,0.67,1860000.0,1242991.0,-4.66,-4.68,13.7,-1.05,28.93,-18.4,1.33,3.73,2.94 2.47,117.28,117.3,0.02
ANSS,"ANSYS, Inc.",Technology | Software - Application | USA,S&P 500,21460000000.0,458300000.0,2000000000.0,51.18,5.9,-,,5100.0,Yes,Yes,2.5,46.94,28.72,5.3,10.75,4.78,41.46,37.84,2.1,2.1,0.0,0.17,-9.41,5.21,8.52,1.64,3.8,9.97,,11.6,14.0,6.1,6.3,Aug 03 Ae6C,-6.11,0.6,-0.8,97.0,1.54,7.5,10.4,8.6,87.0,27.8,23.0,0.0,-19.71,87000000.0,86720000.0,1.56,2.86,319.53,225.92 - 413.89,-40.89,8.28,34.38,1.17,471660.0,551015.0,-3.81,-16.4,-5.56,-21.43,-33.6,-39.01,1.31,7.61,2.81 2.35,246.49,244.63,-0.75
AOSL,Alpha and Omega Semiconductor Limited,Technology | Semiconductors | USA,-,985590000.0,453200000.0,777600000.0,30.82,11.8,-,,3939.0,Yes,Yes,3.3,2.25,6.75,0.13,1.27,1.17,3.05,5.29,1.9,2.6,0.08,0.07,-11.69,16.03,5.34,1.21,902.5,14.82,,78.9,14.4,20.1,91.7,Aug 10 Ae6C,-5.32,18.2,-1.99,67.9,15.11,41.8,73.8,11.2,34.5,11.9,56.9,0.0,-20.88,26830000.0,22120000.0,8.2,4.66,45.67,27.10 - 69.99,-48.55,32.88,40.37,1.07,389170.0,417154.0,-14.26,-16.74,-15.65,-23.25,24.73,-40.54,2.5,2.65,6.31 6.61,36.01,36.01,0.0
APA,APA Corporation,Energy | Oil & Gas E&P | USA,S&P 500,12380000000.0,3080000000.0,10070000000.0,1.71,0.88,0.5,1.29,2253.0,Yes,Yes,2.3,4.37,3.68,0.13,1.23,22.69,43.91,2.99,0.9,1.1,9.05,8.84,6.79,8.89,10.54,2.34,120.2,15.14,,22.1,8.3,73.5,224.7,Aug 03 Ae6C,10.21,0.34,-10.46,84.4,-5.82,23.7,-579.7,31.2,69.5,51.4,30.6,3.8,8.0,341000000.0,325370000.0,2.62,1.06,53.58,18.52 - 51.95,-25.31,109.45,56.36,0.93,8070000.0,7511335.0,-3.43,26.47,-19.67,-1.72,95.47,44.29,3.81,2.1,5.37 4.97,37.92,38.8,2.32
APP,AppLovin Corporation,Technology | Software - Application | USA,-,9280000000.0,-108600000.0,2920000000.0,5.1,2.47,-,,1594.0,Yes,Yes,1.7,-,22.62,-,3.18,4.72,9.76,32.73,2.8,2.8,1.69,1.67,-20.5,-0.29,1.06,0.15,126.6,1801.79,-,,,-39.0,-715.4,Aug 10 Ae6C,-27.96,12.5,-0.83,49.8,7.83,-1.9,-5.4,2.2,62.2,1.0,-3.7,,-55.64,373910000.0,177370000.0,7.19,4.36,56.93,23.37 - 116.09,-79.25,3.08,33.79,0.62,2930000.0,1827601.0,-6.45,-33.08,-38.9,-52.07,-69.29,-74.44,-,2.04,5.78 6.89,25.05,24.09,-3.83
APPF,"AppFolio, Inc.",Technology | Software - Application | USA,-,3430000000.0,-45700000.0,414200000.0,7.59,3.32,-,,1600.0,Yes,Yes,2.8,-,-,-,8.29,12.71,29.09,195.02,2.9,2.9,0.0,0.0,-9.87,-1.31,-0.38,-0.13,-99.4,44.0,,16.2,27.8,32.0,,Jul 28 Ae6C,-5.12,1.1,-18.35,80.3,1.11,-11.5,-16.0,-4.2,59.3,-12.5,-11.0,,-11.67,34930000.0,18510000.0,3.63,6.87,108.0,79.92 - 139.99,-31.11,20.67,33.65,0.75,97800.0,73214.0,-8.15,-9.87,-5.24,-15.75,-20.74,-20.34,1.05,3.7,3.61 3.07,98.05,96.44,-1.64
APPN,Appian Corporation,Technology | Software - Infrastructure | USA,-,3210000000.0,-123700000.0,421700000.0,2.83,1.83,-,,1798.0,Yes,Yes,2.6,-,-,-,7.61,15.25,23.61,-,1.5,1.5,0.0,0.0,-14.37,-1.72,-0.61,-0.22,-157.4,21.0,-,-40.6,22.7,32.7,-103.0,Aug 04 Ae6C,-14.45,0.6,,73.5,3.25,-25.1,-52.8,-36.2,71.8,-27.4,-29.3,,-22.63,72390000.0,39820000.0,14.29,15.99,57.86,38.78 - 115.68,-62.69,11.29,35.82,0.78,355880.0,278101.0,-9.19,-22.12,-12.21,-19.61,-60.06,-33.81,1.59,2.91,5.39 5.46,44.29,43.16,-2.55
APPS,"Digital Turbine, Inc.",Technology | Software - Application | USA,-,1750000000.0,36200000.0,778200000.0,5.89,0.9,-,,844.0,Yes,Yes,1.7,51.55,9.94,1.91,2.25,2.98,19.61,14.0,1.2,1.2,0.82,0.82,-19.33,0.34,1.77,0.33,-39.3,22.18,,26.2,79.4,19.3,0.5,Aug 08 Ae6C,-11.6,2.3,0.7,68.6,6.1,2.5,7.0,8.0,47.5,12.5,4.6,0.0,-51.05,97820000.0,95120000.0,6.5,1.86,35.18,14.43 - 93.98,-81.29,21.83,34.61,0.6,3330000.0,2005844.0,-10.35,-24.06,-15.15,-56.83,-72.25,-71.18,2.39,1.37,6.06 6.51,17.72,17.58,-0.79
ARBE,Arbe Robotics Ltd.,Technology | Software - Infrastructure | Israel,-,451510000.0,-48600000.0,3300000.0,1.03,1.16,-,,118.0,Yes,Yes,2.0,-,-,-,136.82,7.09,6.3,-,9.5,9.5,0.0,0.0,6.18,-0.77,-0.14,-0.16,-271.8,82.5,-,,,300.0,26.1,Aug 16 e9e6O,21.54,28.26,0.0,32.7,0.16,,,-39.3,54.5,,,,-1.97,63290000.0,45380000.0,0.76,17.2,12.8,4.83 - 17.27,-57.73,51.11,60.6,0.26,20130.0,5291.0,0.83,24.36,18.31,4.73,-27.36,-21.51,-,0.53,7.80 7.57,7.15,7.3,2.1
ARCH,"Arch Resources, Inc.",Energy | Thermal Coal | USA,-,2580000000.0,995200000.0,3400000000.0,70.75,15.51,1.0,0.7,3303.0,Yes,Yes,1.7,2.92,4.27,-,0.76,2.0,9.14,5.55,2.0,2.5,0.16,0.11,-3.62,48.62,33.21,13.21,184.4,-44.27,-,-17.4,2.3,151.6,1362.6,Jul 28 e9e6O,1.86,0.1,-16.15,,-2.63,46.8,124.0,29.2,39.4,30.2,29.3,1.2,15.24,16800000.0,-,,4.77,196.0,67.85 - 172.53,-17.78,109.06,46.12,1.0,665520.0,663551.0,-11.87,18.59,-7.09,0.89,88.5,68.35,0.51,8.05,5.08 5.39,138.89,141.85,2.13
ARCT,Arcturus Therapeutics Holdings Inc.,Healthcare | Biotechnology | USA,-,410120000.0,-165500000.0,40600000.0,6.46,9.9,-,,177.0,Yes,Yes,2.6,-,-,-,10.1,2.22,1.45,-,3.1,3.1,0.37,0.21,-17.98,-6.28,-3.96,-1.75,-117.8,65.6,-,-58.5,-9.5,146.5,60.6,Aug 09 Ae6C,-17.87,1.0,0.0,79.9,2.82,-43.9,-78.5,,,,,,-40.46,26430000.0,22900000.0,11.39,4.58,49.91,11.70 - 58.45,-75.5,22.39,40.32,0.75,569330.0,426907.0,-4.6,-30.62,-28.33,-24.03,-74.97,-61.31,2.74,1.56,9.15 9.81,15.43,14.32,-7.19
ARQQ,Arqit Quantum Inc.,Technology | Software - Infrastructure | United Kingdom,-,762040000.0,-,12300000.0,-0.31,-,-,,74.0,Yes,Yes,2.5,-,24.04,-,61.96,-,-,-,-,-,-,-,5.0,-3.98,0.26,-,,-43.5,-,,,,,-,6.23,79.72,0.0,2.9,,,,,,,,,-51.77,121930000.0,24730000.0,2.05,4.36,12.67,4.98 - 41.52,-84.95,25.5,54.07,1.66,116600.0,193817.0,8.7,22.55,-5.59,-58.42,-25.51,-73.9,-,0.52,11.14 8.94,6.72,6.25,-6.99
ARRY,"Array Technologies, Inc.",Technology | Solar | USA,-,3230000000.0,-113800000.0,1130000000.0,0.73,0.31,-,,1348.0,Yes,Yes,2.3,-,21.89,-,2.84,27.77,65.17,-,1.2,1.9,7.62,7.18,-4.35,-0.82,0.93,0.1,-217.8,207.64,,,,21.1,-731.4,Aug 09 Ae6C,25.87,0.6,3.69,,2.89,-6.2,833.1,-2.2,7.9,-2.2,-5.8,,53.06,148290000.0,148100000.0,10.69,3.67,25.0,5.45 - 27.67,-26.75,272.27,53.3,1.11,4320000.0,4791597.0,-5.81,17.37,76.26,119.85,4.7,29.19,-,1.97,9.54 9.28,21.46,20.27,-5.55
ASAN,"Asana, Inc.",Technology | Software - Application | USA,-,3390000000.0,-326600000.0,422400000.0,0.82,1.51,-,,1666.0,Yes,Yes,2.3,-,-,-,8.03,22.15,12.05,-,1.4,1.4,0.0,0.21,-20.93,-1.78,-1.08,-0.39,-24.7,16.0,-,,,57.2,-39.3,Sep 07 Ae6C,-12.12,4.8,-0.25,52.8,-5.14,-45.8,-147.3,-112.6,89.7,-73.8,-77.3,,-57.35,189590000.0,72570000.0,18.1,4.09,34.36,16.19 - 145.79,-87.54,12.17,37.6,0.99,3210000.0,3182979.0,-8.1,-22.23,-19.32,-60.04,-79.63,-75.64,-,1.72,6.99 7.35,17.82,18.16,1.91
ASML,ASML Holding N.V.,Technology | Semiconductor Equipment & Materials | Netherlands,-,190910000000.0,5590000000.0,19080000000.0,19.1,10.71,7.38,1.58,32627.0,Yes,Yes,2.0,33.78,22.54,1.13,10.0,24.46,43.61,22.55,0.9,1.4,0.0,0.57,-13.28,13.83,20.73,4.06,69.1,33.62,,31.5,22.0,35.1,40.5,Jul 20 e9e6O,-9.55,0.4,0.0,19.7,-0.8,18.8,59.0,38.9,51.1,33.3,29.3,40.2,-24.96,398300000.0,397090000.0,0.29,1.13,725.77,412.67 - 895.93,-47.85,13.21,31.78,1.13,1010000.0,1144703.0,-8.38,-20.61,-17.11,-21.39,-45.76,-41.32,1.33,18.73,3.60 2.94,469.92,467.19,-0.58
ATAI,Atai Life Sciences N.V.,Healthcare | Biotechnology | Germany,-,710420000.0,-193500000.0,700000.0,2.02,1.92,-,,81.0,Yes,Yes,1.9,-,-,-,1014.88,2.16,2.27,-,14.7,14.7,0.0,0.0,-4.08,-1.28,-1.04,-0.23,-9.0,-15.6,-,,,,35.1,Aug 15 e9e6O,4.14,9.41,4.16,32.3,13.32,-47.5,-52.0,-35.0,,,,,-20.71,153970000.0,146690000.0,4.23,7.76,23.96,2.95 - 17.90,-75.64,47.8,49.11,0.71,799670.0,569617.0,-6.84,6.08,18.16,-14.84,-74.72,-42.86,-,0.3,6.41 7.33,4.39,4.36,-0.68
ATEN,"A10 Networks, Inc.",Technology | Software - Infrastructure | USA,-,1020000000.0,102400000.0,266700000.0,2.57,2.16,0.2,1.52,590.0,Yes,Yes,1.7,10.24,16.2,0.51,3.81,5.11,6.09,25.39,2.0,2.2,0.0,0.0,-13.97,1.28,0.81,0.18,432.5,17.54,,40.5,1.9,14.9,59.5,Aug 02 Ae6C,-10.56,1.6,-49.02,93.2,9.07,27.1,51.6,46.3,79.9,16.3,38.4,11.3,-10.06,75890000.0,63820000.0,6.06,5.5,20.67,12.27 - 19.05,-31.02,7.09,28.91,0.89,702580.0,627251.0,-13.21,-15.23,-16.89,-5.54,-5.74,-20.75,0.92,0.52,4.45 3.11,13.33,13.14,-1.43
ATGE,Adtalem Global Education Inc.,Consumer Defensive | Education & Training Services | USA,-,1720000000.0,-29800000.0,1390000000.0,33.32,-,-,,4313.0,Yes,Yes,2.3,-,8.66,-,1.24,1.11,-,-,1.3,1.3,0.56,0.56,-4.49,-0.6,4.26,0.78,-145.0,5.19,,-18.4,2.8,61.6,-8.6,Aug 11 Ae6C,-3.6,1.8,0.92,,-1.94,9.1,22.9,4.1,52.4,5.8,22.9,0.0,17.56,45170000.0,44260000.0,9.28,8.8,43.33,19.14 - 41.40,-10.87,92.79,40.56,0.79,466800.0,368387.0,-7.17,-5.92,8.24,63.71,-1.26,24.83,1.02,1.23,3.05 3.51,38.03,36.9,-2.97
ATKR,Atkore Inc.,Industrials | Specialty Industrial Machinery | USA,-,3590000000.0,891300000.0,3810000000.0,26.47,4.37,-,,4000.0,Yes,Yes,2.2,4.2,6.16,-,0.94,3.17,19.22,9.5,1.9,2.8,0.0,0.67,-6.04,19.96,13.61,5.02,293.1,-35.11,,67.1,14.0,24.4,60.3,Aug 02 e9e6O,-5.54,0.3,-31.37,,-1.59,38.4,89.7,38.1,41.6,31.6,23.4,0.0,-16.16,43070000.0,41040000.0,5.12,4.55,124.25,80.04 - 123.53,-32.06,4.85,39.55,0.82,461540.0,376901.0,-4.31,-6.8,-28.15,-17.1,-9.11,-24.52,2.27,3.25,3.91 3.16,86.84,83.93,-3.35
ATO,Atmos Energy Corporation,Utilities | Utilities - Regulated Gas | USA,S&P 500,16060000000.0,751000000.0,4050000000.0,66.26,2.34,2.72,2.37,4684.0,Yes,Yes,2.4,21.12,19.25,2.52,3.97,1.73,48.94,-,0.9,1.0,0.86,0.62,-1.28,5.42,5.95,0.43,4.7,7.09,,9.0,6.8,34.8,17.7,Aug 03 Ae6C,-0.06,0.3,-0.0,92.9,1.21,4.6,11.0,4.9,61.1,27.0,23.5,29.6,3.9,139880000.0,138210000.0,4.66,7.21,125.12,85.80 - 122.96,-6.84,33.51,45.51,0.99,891870.0,880059.0,-1.24,-1.11,-1.34,-1.38,16.53,9.33,0.51,1.88,1.86 1.44,114.78,114.55,-0.2
ATVI,"Activision Blizzard, Inc.",Communication Services | Electronic Gaming & Multimedia | USA,S&P 500,61450000000.0,1880000000.0,7640000000.0,23.34,13.54,0.47,0.61,9800.0,Yes,Yes,2.3,32.4,20.31,2.99,8.04,3.32,5.73,31.91,6.2,6.2,0.2,0.2,-2.95,2.39,3.82,0.51,21.9,35.01,,22.0,5.9,-28.4,-68.2,Aug 01 Ae6C,-1.92,0.1,-4.88,83.1,-1.08,7.6,10.6,13.2,71.9,30.4,24.6,19.5,2.59,782000000.0,775550000.0,2.74,4.67,93.09,56.40 - 86.90,-10.78,37.46,31.26,0.95,4550000.0,4318137.0,-1.4,-3.88,-0.46,-4.79,-4.65,16.53,0.51,0.8,0.98 0.91,78.55,77.53,-1.3
AUDC,AudioCodes Ltd.,Technology | Communication Equipment | Israel,-,699110000.0,31100000.0,264200000.0,5.75,1.67,0.36,1.62,885.0,Yes,Yes,-,23.72,13.27,2.64,2.65,3.86,13.29,67.88,1.2,1.5,0.0,0.0,-1.47,0.94,1.67,0.35,20.5,19.96,,17.1,11.3,12.9,-12.1,Aug 02 e9e6O,-2.08,40.5,0.0,45.4,3.24,9.3,15.9,16.4,67.2,13.4,11.8,37.4,-16.66,31810000.0,24180000.0,0.22,0.65,26.4,19.62 - 37.35,-40.62,13.05,45.75,0.65,81800.0,53516.0,-1.51,1.28,-6.02,-20.19,-32.83,-36.15,0.67,0.71,2.68 2.80,22.1,22.18,0.36
AUID,authID Inc.,Technology | Software - Infrastructure | USA,-,59490000.0,-23600000.0,1400000.0,0.31,0.44,-,,60.0,No,Yes,-,-,-,-,42.49,8.48,5.95,-,-,3.9,1.08,0.99,-3.68,-1.0,-,-,-32.4,,-,9.4,3.5,0.0,-73.7,Aug 09 Ae6C,-2.18,9.9,1.06,14.0,-7.24,-131.2,-208.8,-147.5,78.8,,,,-56.08,24670000.0,18780000.0,2.02,6.91,-,1.45 - 18.64,-85.89,81.38,46.6,0.14,54800.0,7443.0,-11.15,-15.97,-10.85,-35.22,-79.29,-81.25,2.82,0.28,13.43 10.18,2.4,2.63,9.58
AVAV,"AeroVironment, Inc.",Industrials | Aerospace & Defense | USA,-,2090000000.0,-4200000.0,445700000.0,24.55,4.05,-,,1214.0,Yes,Yes,2.2,-,38.51,-,4.68,3.38,20.47,-,2.7,3.6,0.31,0.29,-13.2,-0.17,2.15,0.11,-117.7,41.18,,-17.3,13.8,-2.5,-33.6,Sep 07 Ae6C,-5.72,1.0,-4.3,87.7,1.32,-0.5,-0.7,0.9,31.7,-0.8,-0.9,,3.58,24770000.0,24680000.0,3.72,3.77,96.33,52.03 - 114.11,-27.34,59.35,36.1,0.96,243350.0,234718.0,-14.63,-8.48,-13.88,11.68,-19.92,33.66,0.5,3.79,4.69 3.77,83.46,82.91,-0.66
AVGO,Broadcom Inc.,Technology | Semiconductors | USA,S&P 500,198680000000.0,8630000000.0,29990000000.0,51.38,22.67,16.4,3.28,20000.0,Yes,Yes,1.9,24.78,12.36,1.63,6.62,9.74,22.06,27.31,1.9,2.1,1.88,1.87,-6.61,20.18,40.46,10.29,137.1,8.52,,40.0,15.7,22.6,79.6,Sep 01 Ae6C,-3.39,0.1,-7.86,82.2,-1.15,10.2,32.3,12.8,64.4,32.6,25.1,81.4,-12.13,408000000.0,394320000.0,1.39,2.75,659.24,463.91 - 677.76,-26.2,7.83,40.16,2.03,1990000.0,4038822.0,-3.96,-9.51,-11.2,-16.07,1.69,-24.83,1.12,15.98,3.01 2.64,492.01,500.22,1.67
AVID,"Avid Technology, Inc.",Communication Services | Electronic Gaming & Multimedia | USA,-,1180000000.0,48000000.0,419000000.0,-3.05,0.99,-,,1405.0,Yes,Yes,2.3,25.21,15.61,1.68,2.81,-,26.61,25.14,0.8,0.9,-,-,-0.46,1.05,1.69,0.32,262.6,17.51,,-5.8,-4.3,3.0,8.6,Aug 02 Ae6C,-2.36,7.9,5.75,81.4,3.83,18.9,-37.1,111.0,65.5,13.8,11.4,0.0,-11.5,44740000.0,41110000.0,2.06,1.72,37.0,20.83 - 37.31,-29.27,26.69,48.92,1.35,492780.0,665138.0,8.96,0.57,-8.56,-12.93,-1.6,-18.97,1.2,1.33,3.99 4.19,26.41,26.39,-0.08
AVLR,"Avalara, Inc.",Technology | Software - Application | USA,-,8100000000.0,-166400000.0,789400000.0,11.66,16.58,-,,4465.0,Yes,Yes,1.9,-,508.18,-,10.27,7.89,5.55,658.89,3.2,3.2,0.94,0.94,-0.1,-1.91,0.18,-0.05,-130.2,3520.0,-,-12.4,33.1,23.4,-76.1,Aug 08 e9e6O,5.57,1.5,-10.31,92.3,1.38,-6.2,-16.1,-6.0,70.2,-19.7,-21.1,,-6.93,87990000.0,86580000.0,3.04,0.84,93.3,66.39 - 191.67,-52.01,38.54,56.14,1.1,3150000.0,3478141.0,0.17,-2.27,3.5,-3.07,-51.19,-28.76,1.04,1.37,0.75 0.91,91.82,91.98,0.17
AVPT,"AvePoint, Inc.",Technology | Software - Infrastructure | USA,-,817610000.0,-39200000.0,213800000.0,1.3,1.33,-,,1934.0,Yes,Yes,2.0,-,176.0,-,3.82,3.38,3.32,2044.02,2.8,2.8,0.0,0.0,-12.11,-0.22,0.03,0.01,-68.7,66.67,-,,,23.0,73.3,Aug 11 Ae6C,-10.08,2.7,0.0,41.4,18.32,-10.1,-16.0,-21.5,71.8,-29.0,-18.3,,-20.02,182490000.0,115480000.0,6.11,7.48,8.0,3.88 - 10.80,-59.26,13.4,32.02,0.43,943030.0,402536.0,-7.17,-18.22,-25.68,-13.21,-55.73,-30.05,-,0.22,4.26 4.33,4.41,4.4,-0.23
AVYA,Avaya Holdings Corp.,Technology | Software - Application | USA,-,155510000.0,-1473000000.0,2770000000.0,5.05,3.56,-,,8063.0,Yes,Yes,3.1,-,-,-,0.06,0.34,0.48,-,1.6,1.7,0.0,6.54,68.57,-17.03,-0.07,-0.26,97.3,9.9,,33.4,-4.3,-3.0,96.7,Aug 09 e9e6O,2.38,18.0,13.92,95.41,1.99,-1.3,-20.6,5.5,51.1,4.7,-2.9,,-83.78,85600000.0,71430000.0,21.33,1.0,-,0.60 - 22.47,-92.39,186.82,58.2,1.52,15280000.0,23222294.0,29.55,101.87,-66.8,-86.45,-91.8,-91.36,1.12,0.27,21.17 21.88,1.79,1.71,-4.47
AXON,"Axon Enterprise, Inc.",Industrials | Aerospace & Defense | USA,-,8170000000.0,140800000.0,991600000.0,16.8,5.34,-,,2148.0,Yes,Yes,1.7,59.71,46.78,3.18,8.24,6.89,21.67,220.92,2.3,2.7,0.0,0.0,-6.46,1.94,2.48,0.49,-20.0,30.06,,-36.9,26.3,30.5,197.5,Aug 09 Ae6C,5.86,1.5,-1.12,77.4,2.13,8.0,12.6,-8.3,61.4,1.5,14.2,0.0,-7.65,71040000.0,67440000.0,2.48,4.67,146.7,82.49 - 209.00,-44.6,40.35,46.28,1.57,358710.0,563869.0,-5.28,-0.7,12.31,-16.18,-36.69,-26.25,0.63,4.9,3.92 3.79,115.0,115.78,0.68
